interval_index,observation_time,path_index,production_p3,reference_p3,p3_error,production_nested_direct_p3,reference_nested_direct_p3,nested_direct_p3_error,production_q3,reference_q3,q3_error,production_q3_controlled_raw,reference_q3_controlled_raw,q3_controlled_raw_error,production_q3_nested_direct,reference_q3_nested_direct,q3_nested_direct_error,production_projection_abs,reference_bernoulli_se_proxy
1,0.26301369863013696,210,0.9999246125981517,0.9999246125981517,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,221,0.9999942866742875,0.9999942866742875,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1,0.26301369863013696,232,0.9957915622208717,0.9957915622208717,0.0,1.0,0.99609375,0.00390625,3.8297044586065114e-07,3.8297044586065114e-07,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.8297044586065114e-07,0.0
1,0.26301369863013696,243,0.9999511555071058,0.9999511555071058,0.0,1.0,1.0,0.0,1.3637954414656621e-08,1.3637954414656621e-08,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3637954414656621e-08,0.0
1,0.26301369863013696,254,0.9999988724426214,0.9999988724426214,0.0,1.0,1.0,0.0,5.546531317709879e-13,5.546531317709879e-13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.546531317709879e-13,0.0
5,1.2602739726027397,0,0.9997566582243829,0.9997566582243829,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,12,0.999978120618234,0.999978120618234,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,23,0.6587971822201454,0.6587971822201454,0.0,0.765625,0.7216796875,0.0439453125,0.0002454685206554342,0.0002454685206554342,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0002454685206554342,0.0
5,1.2602739726027397,35,0.9999999727390856,0.9999999727390856,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,45,0.99989326226176,0.99989326226176,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,54,0.8521471651432113,0.8521471651432113,0.0,0.93359375,0.898193359375,0.035400390625,0.0014371305731253337,0.0014371305731253337,0.0,0.0014750216336363309,0.0014371305731253337,3.789106051099722e-05,0.00390625,0.000732421875,0.003173828125,3.789106051099722e-05,0.000422709080916316
5,1.2602739726027397,66,0.5461656205281921,0.5461653686133676,2.519148244450875e-07,0.70703125,0.63818359375,0.06884765625,0.0026037873845435344,0.002604039299368033,-2.5191482449843025e-07,0.0,0.002604039299368033,-0.002604039299368033,0.0,0.00146484375,-0.00146484375,0.0026037873845435344,0.0005975817933171346
5,1.2602739726027397,77,0.9998964134955246,0.9998964134955246,0.0,1.0,0.999755859375,0.000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,88,0.9919893718872997,0.9919893718872997,0.0,0.99609375,0.99560546875,0.00048828125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,100,0.9999999999978356,0.9999999999978356,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,109,0.9671111674916686,0.9671111674916686,0.0,0.9921875,0.980712890625,0.011474609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,121,1.0,1.0,0.0,1.0,1.0,0.0,1.2394329004440589e-46,1.2394329004440589e-46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.2394329004440589e-46,0.0
5,1.2602739726027397,131,0.9999999999999991,0.9999999999999991,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,142,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,154,0.37544976485207415,0.37544976485207415,0.0,0.55859375,0.45947265625,0.09912109375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,164,0.9999135653316886,0.9999135653316886,0.0,1.0,0.999755859375,0.000244140625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,176,0.3684174565739443,0.3684174565739443,0.0,0.546875,0.457275390625,0.089599609375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,186,0.999988272757976,0.999988272757976,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,198,0.9999999999999786,0.9999999999999786,0.0,1.0,1.0,0.0,4.387199247301897e-19,4.387199247301897e-19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.387199247301897e-19,0.0
5,1.2602739726027397,209,0.9999966773099013,0.9999966773099013,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,219,0.9999993291903899,0.9999993291903899,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,231,0.9998031794340445,0.9998031794340445,0.0,1.0,1.0,0.0,1.5470216037420232e-12,1.5470216037420232e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5470216037420232e-12,0.0
5,1.2602739726027397,243,0.9950137586719463,0.9950137586719463,0.0,1.0,0.997314453125,0.002685546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5,1.2602739726027397,254,0.9999991625602921,0.9999991625602921,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,0,0.7821430764960504,0.7821430764960504,0.0,0.8671875,0.839599609375,0.027587890625,2.5658733706634962e-05,2.5658733706634962e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5658733706634962e-05,0.0
8,2.0082191780821916,10,0.9999989037107695,0.9999989037107695,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,21,0.9999991062381204,0.9999991062381204,0.0,1.0,1.0,0.0,7.548540889981053e-23,7.548540889981053e-23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7.548540889981053e-23,0.0
8,2.0082191780821916,33,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,44,0.999999983657828,0.999999983657828,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,52,0.6695309400180799,0.6695309400180799,0.0,0.79296875,0.744873046875,0.048095703125,2.4957113777979433e-09,2.4957113777979433e-09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.4957113777979433e-09,0.0
8,2.0082191780821916,63,0.9903728561305388,0.9903728561305388,0.0,1.0,0.993408203125,0.006591796875,2.63168831962489e-14,2.63168831962489e-14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.63168831962489e-14,0.0
8,2.0082191780821916,75,0.9999999999998095,0.9999999999998095,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,89,0.9999991404261372,0.9999991404261372,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,100,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,111,0.9999997224292132,0.9999997224292132,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,124,0.7301970063594724,0.7301970063594724,0.0,0.8125,0.794189453125,0.018310546875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,133,0.9999999413685937,0.9999999413685937,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,144,0.9834592650135904,0.9834592650135904,0.0,0.9921875,0.990234375,0.001953125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,155,0.9999999999999997,0.9999999999999997,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,166,0.9999999999984525,0.9999999999984525,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,180,0.18529126112519104,0.18529126112519104,0.0,0.484375,0.33642578125,0.14794921875,9.795637805442432e-12,9.795637805442432e-12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.795637805442432e-12,0.0
8,2.0082191780821916,192,0.5249601885778487,0.5249601885778487,0.0,0.671875,0.61962890625,0.05224609375,0.002079983481781955,0.002079983481781955,0.0,0.0,0.002079983481781955,-0.002079983481781955,0.0,0.001220703125,-0.001220703125,0.002079983481781955,0.0005455817317288437
8,2.0082191780821916,201,0.4982913340011955,0.4982913340011955,0.0,0.71484375,0.62060546875,0.09423828125,0.0004329395254705215,0.0004329395254705215,0.0,0.0,0.0004329395254705215,-0.0004329395254705215,0.0,0.000244140625,-0.000244140625,0.0004329395254705215,0.00024411082085840083
8,2.0082191780821916,210,0.9471698770882225,0.9471698770882225,0.0,0.98828125,0.96630859375,0.02197265625,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,221,0.9999998890114106,0.9999998890114106,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,234,0.9382730611021706,0.9382730611021706,0.0,0.97265625,0.956787109375,0.015869140625,1.526089627036292e-24,1.526089627036292e-24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.526089627036292e-24,0.0
8,2.0082191780821916,245,0.999893627610885,0.999893627610885,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8,2.0082191780821916,254,0.9999852337615299,0.9999852337615299,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
